id	external_id	external_efo_id
1116601	MESH:C567559,OMIM:612796	
1117301	OMIM:602477,MESH:C566541	
1117601	OMIM:121210,MESH:C565162	
1123101	OMIM:612241,MESH:C567388	
1123501	MESH:C567381,OMIM:612255	
1125801	OMIM:609311,MESH:C563740	Orphanet_99954
1127501	MESH:C535331,OMIM:305400	Orphanet_915
1133101	MESH:C535752,OMIM:212066	Orphanet_79329
1134001	OMIM:300716,MESH:C567470	Orphanet_777
1134801	MESH:C563151	
1135701	MESH:C535680	
1137801	OMIM:208920,MESH:C538013	Orphanet_1168
1144301	OMIM:612961,MESH:C567839	Orphanet_3237
1153901	OMIM:301900,MESH:C536575	Orphanet_127
1154101	OMIM:607949	
1154401	MESH:C537333,OMIM:300263	Orphanet_85287
1155201	OMIM:611046	
1155401	OMIM:612929	
1162801	OMIM:271250,MESH:C537309	Orphanet_95433
1164501	MESH:C565079,OMIM:127550	Orphanet_1775
1164801	OMIM:128700,MESH:C563015	
1166301	OMIM:105563,MESH:C538254	
1169501	OMIM:303900	EFO_0005580,EFO_0005581
1173701	OMIM:609893,MESH:C567935	Orphanet_97927
1173801	OMIM:609915,MESH:C563688	Orphanet_154
1174201	OMIM:117210,MESH:C566146	Orphanet_217012
1175701	OMIM:605582,MESH:C565320	Orphanet_154
1176401	MESH:C566460,OMIM:609646	Orphanet_90636
1178301	OMIM:608244,MESH:C564268	
1178401	MESH:C566914,OMIM:611571	
1178701	OMIM:605727,MESH:C565302	
1179901	MESH:C564482,OMIM:300577	Orphanet_777
1199501	OMIM:611572,MESH:C566913	
1199801	OMIM:612096,MESH:C567421	
1200101	OMIM:608787,MESH:C563858	
1204001	OMIM:612099,MESH:C567418	Orphanet_867
1204101	OMIM:611040	Orphanet_251279
1204201	OMIM:300321,MESH:C537923	
1204401	MESH:C564480,OMIM:300581	
1207401	OMIM:161550,MESH:C538339	
1208001	OMIM:236792,MESH:C535306	Orphanet_79314,Orphanet_19
1210401	OMIM:608233,MESH:C537709	Orphanet_183678,Orphanet_79430
1218401	MESH:C563757,OMIM:609260	Orphanet_99947
1218901	MESH:C537248,OMIM:604250	Orphanet_225123
1227701	MESH:C567203,OMIM:612674	Orphanet_171848
1229001	OMIM:609981	Orphanet_75391
1229201	OMIM:248310	
1230701	OMIM:300614,MESH:C564472	Orphanet_139583
1231501	OMIM:611630	Orphanet_163717
1232201	OMIM:256300,MESH:C535761	Orphanet_839
1235301	MESH:C567063,OMIM:300676	Orphanet_776
